"","H1.Bulk.28.FD.mapped.bam","H1.Bulk.29.mapped.bam","H1.Bulk.30.mapped.bam","H1.Bulk.Litter.4.mapped.bam","H1.Bulk.Litter.5.mapped.bam","H1.Bulk.Litter.6.mapped.bam","H1.Rhizo.25.mapped.bam","H1.Rhizo.26.FD.mapped.bam","H1.Rhizo.27.mapped.bam","H1.Rhizo.Litter.1.mapped.bam","H1.Rhizo.Litter.2.mapped.bam","H1.Rhizo.Litter.3.mapped.bam","H2.Bulk.34.mapped.bam","H2.Bulk.35.mapped.bam","H2.Bulk.36.mapped.bam","H2.Bulk.Litter.10.mapped.bam","H2.Bulk.Litter.11.mapped.bam","H2.Bulk.Litter.12.mapped.bam","H2.Bulk.Litter.50.mapped.bam","H2.Rhizo.31.mapped.bam","H2.Rhizo.32.mapped.bam","H2.Rhizo.33.mapped.bam","H2.Rhizo.Litter.49.mapped.bam","H2.Rhizo.Litter.7.mapped.bam","H2.Rhizo.Litter.8.mapped.bam","H2.Rhizo.Litter.9.mapped.bam","H3.Bulk.40.mapped.bam","H3.Bulk.41.mapped.bam","H3.Bulk.42.mapped.bam","H3.Bulk.Litter.16.mapped.bam","H3.Bulk.Litter.17.mapped.bam","H3.Rhizo.37.mapped.bam","H3.Rhizo.39.mapped.bam","H3.Rhizo.Litter.13.mapped.bam","H3.Rhizo.Litter.14.mapped.bam","H3.Rhizo.Litter.15.mapped.bam","H4.Bulk.46.mapped.bam","H4.Bulk.47.mapped.bam","H4.Bulk.48.mapped.bam","H4.Bulk.Litter.22.mapped.bam","H4.Bulk.Litter.23.mapped.bam","H4.Bulk.Litter.24.mapped.bam","H4.Rhizo.43.mapped.bam","H4.Rhizo.44.mapped.bam","H4.Rhizo.45.mapped.bam","H4.Rhizo.Litter.19.mapped.bam","H4.Rhizo.Litter.20.mapped.bam","H4.Rhizo.Litter.21.mapped.bam"
"H1_Bulk_28_FD_scaffold_1059_2",71,91,81,30,48,24,32,78,50,25,63,43,55,54,15,36,45,32,41,76,41,91,72,36,28,9,38,59,26,41,31,14,0,29,48,38,74,55,45,42,58,63,21,23,34,26,28,45
"H1_Bulk_28_FD_scaffold_1229_1",82,112,154,51,86,25,86,134,189,58,99,59,53,93,79,52,32,35,69,86,75,53,253,70,35,5,84,56,66,76,48,45,22,23,34,70,204,245,231,170,70,159,187,124,154,121,80,112
"H1_Bulk_28_FD_scaffold_1229_2",16,45,95,15,33,6,28,59,103,22,44,24,12,18,43,31,10,4,14,14,29,16,83,22,13,2,30,12,18,29,12,29,0,8,13,12,69,91,77,84,18,53,53,61,45,82,19,51
"H1_Bulk_28_FD_scaffold_1229_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_1243_2",18,11,9,9,4,4,13,10,10,3,9,4,5,8,2,10,8,13,6,4,6,7,10,2,5,1,13,12,7,6,5,1,0,1,9,11,25,14,10,10,7,10,11,6,14,10,10,7
"H1_Bulk_28_FD_scaffold_1258_2",9,4,5,2,4,3,6,8,3,4,2,9,6,5,3,5,8,5,3,7,10,5,7,6,4,0,9,7,9,8,5,1,0,2,8,3,10,9,12,11,6,8,16,6,10,7,9,8
"H1_Bulk_28_FD_scaffold_1258_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_1258_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_1304_2",19,12,10,2,5,11,22,19,12,2,12,17,23,17,13,9,9,5,9,12,13,11,17,6,10,0,20,19,13,14,14,11,0,10,18,17,1,5,3,8,1,7,12,1,1,1,3,5
"H1_Bulk_28_FD_scaffold_1383_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_1398_2",8,5,5,0,3,4,8,4,7,1,6,4,5,1,4,1,1,1,3,6,5,5,3,5,3,0,1,6,4,3,2,1,0,2,7,2,2,3,1,3,3,6,0,3,0,3,0,2
"H1_Bulk_28_FD_scaffold_1398_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_1518_1",4,4,5,1,2,2,3,1,3,0,3,1,2,3,1,1,3,3,1,4,7,0,3,3,3,1,1,1,3,3,1,1,1,2,2,0,4,5,1,5,2,3,1,1,2,3,3,1
"H1_Bulk_28_FD_scaffold_1518_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_1645_1",77,64,46,40,46,28,60,39,55,15,43,17,53,62,48,27,43,38,37,34,42,39,55,34,21,17,56,54,43,30,72,24,0,28,37,23,164,69,60,51,54,55,64,26,58,38,24,35
"H1_Bulk_28_FD_scaffold_1664_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_1664_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_1827_2",6,2,2,0,1,1,3,5,3,2,5,3,6,2,0,0,7,0,1,5,1,0,1,7,1,2,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_1827_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_1827_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_1878_1",38,31,8,11,12,9,11,24,14,11,22,11,24,31,41,7,26,18,23,25,20,25,30,7,6,9,15,21,22,19,13,24,0,10,20,2,29,14,33,14,16,13,13,9,23,10,8,6
"H1_Bulk_28_FD_scaffold_189_2",19,16,13,9,17,5,6,19,19,2,5,7,22,12,10,7,12,17,11,10,14,11,16,10,3,1,15,20,22,15,9,9,11,5,16,8,23,27,35,38,19,21,25,16,21,21,24,17
"H1_Bulk_28_FD_scaffold_189_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_189_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_19_8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_20_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_2191_1",9,7,8,3,2,3,9,8,8,6,4,1,6,11,4,7,3,6,5,13,8,15,14,4,3,5,6,10,12,5,5,2,0,3,4,6,8,9,6,6,15,6,17,4,9,6,7,11
"H1_Bulk_28_FD_scaffold_2191_2",17,8,4,6,3,5,10,5,5,4,10,7,8,11,5,7,8,10,7,14,10,8,15,6,10,3,7,11,13,10,11,3,0,9,11,9,18,9,9,12,19,13,11,15,14,13,12,6
"H1_Bulk_28_FD_scaffold_2191_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_2235_1",7,8,13,5,2,10,16,8,4,1,4,3,15,15,1,5,5,3,6,8,10,8,3,5,3,0,4,7,1,7,5,2,0,4,13,2,3,2,1,4,3,4,2,1,1,3,1,1
"H1_Bulk_28_FD_scaffold_2399_2",9,6,7,7,3,1,7,5,13,3,4,2,3,7,6,0,5,4,2,8,7,8,7,5,7,0,6,5,2,7,5,14,0,2,1,3,6,18,5,5,14,6,11,9,5,6,5,5
"H1_Bulk_28_FD_scaffold_2399_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_2651_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_2685_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_272_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_3180_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_3197_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_3239_1",15,15,13,10,4,4,12,7,19,4,3,3,16,7,10,5,8,3,5,11,9,8,15,6,5,1,7,6,9,8,7,4,0,3,4,7,8,22,8,8,3,8,13,3,10,5,5,11
"H1_Bulk_28_FD_scaffold_3239_2",7,2,2,1,4,2,7,2,1,0,2,3,0,1,2,0,2,1,1,4,2,4,6,1,1,0,1,1,3,1,0,0,0,0,1,4,3,5,3,5,3,7,3,4,5,2,3,3
"H1_Bulk_28_FD_scaffold_331_1",66,67,56,31,31,16,50,64,57,33,42,36,46,62,14,36,39,35,61,53,62,60,129,41,39,7,49,64,52,49,31,18,0,18,27,30,86,66,49,69,47,80,57,68,48,52,38,61
"H1_Bulk_28_FD_scaffold_331_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_337_1",63,55,57,36,48,12,61,67,60,44,92,41,41,50,37,47,51,36,49,45,58,63,110,58,27,7,41,58,44,58,37,19,0,18,50,38,121,62,74,61,72,84,68,90,68,48,45,56
"H1_Bulk_28_FD_scaffold_337_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_337_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_337_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_339_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_3501_1",88,87,64,51,67,41,53,51,60,24,50,36,47,89,26,46,67,55,60,38,57,47,54,26,43,5,53,58,53,77,56,10,0,42,46,24,183,90,119,116,91,87,80,59,90,71,60,81
"H1_Bulk_28_FD_scaffold_3684_1",114,8,6,6,2,6,5,9,8,1,4,4,4,7,2,1,0,4,5,4,13,4,20,3,3,0,10,15,3,6,9,4,0,3,6,2,18,9,11,9,3,19,8,4,5,7,4,4
"H1_Bulk_28_FD_scaffold_3691_1",71,78,48,15,49,16,61,68,70,18,52,41,58,82,38,34,37,34,54,78,93,86,109,64,34,7,57,52,48,29,24,35,0,29,43,48,116,115,99,54,74,54,81,55,84,48,57,36
"H1_Bulk_28_FD_scaffold_3800_1",2,2,1,1,4,1,2,7,1,2,4,1,3,1,0,1,2,1,2,1,1,1,1,5,3,0,2,1,1,0,2,2,0,0,2,0,1,5,5,3,8,5,3,3,1,2,0,3
"H1_Bulk_28_FD_scaffold_3800_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_3800_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_3862_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_3892_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_3892_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_398_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_398_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_398_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_4052_1",52,54,33,33,28,21,25,39,32,12,33,20,54,38,30,21,25,14,28,50,38,53,54,22,18,4,22,33,22,19,21,32,0,11,17,8,127,50,42,26,37,31,34,14,38,13,21,17
"H1_Bulk_28_FD_scaffold_4156_1",7,5,3,1,4,4,4,5,9,4,12,4,4,6,6,5,7,5,0,6,8,10,12,2,8,0,11,6,2,5,8,7,0,3,2,2,16,6,8,4,15,10,12,6,13,7,10,7
"H1_Bulk_28_FD_scaffold_4241_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_451_2",14,5,9,7,11,4,2,11,6,9,13,9,9,11,13,9,14,13,15,5,9,8,5,4,10,3,8,14,7,4,11,17,0,2,14,5,11,5,3,3,6,4,1,3,4,3,4,1
"H1_Bulk_28_FD_scaffold_4574_1",14,9,3,4,7,8,3,2,5,2,6,4,10,5,4,5,6,0,6,4,4,5,10,2,5,1,6,8,3,2,7,0,0,1,6,3,14,8,8,9,7,3,5,1,8,2,5,1
"H1_Bulk_28_FD_scaffold_4588_1",11,16,21,11,23,7,11,15,21,11,15,11,11,20,15,9,15,6,6,5,11,5,25,8,4,0,24,15,17,13,18,5,6804,4,8,5,35,26,27,13,13,19,24,21,12,10,9,16
"H1_Bulk_28_FD_scaffold_5009_2",33,39,21,18,23,16,27,25,27,16,21,22,17,27,24,12,24,37,17,26,36,28,67,14,31,6,36,34,23,37,19,31,0,9,27,16,46,33,36,34,41,43,64,35,61,49,41,29
"H1_Bulk_28_FD_scaffold_5009_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_5152_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_5159_1",6,4,4,2,2,1,7,3,5,0,4,1,4,4,5,3,2,0,0,2,4,1,9,1,2,0,2,4,2,3,4,0,1945,1,5,0,2,6,4,4,1,4,4,0,5,5,3,1
"H1_Bulk_28_FD_scaffold_5159_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_5178_2",7,7,0,3,2,1,7,5,4,3,3,3,4,1,4,1,3,4,4,3,2,4,4,2,1,0,8,8,1,5,1,1,0,4,4,4,3,1,1,0,0,2,2,2,3,0,1,5
"H1_Bulk_28_FD_scaffold_5178_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_5345_1",2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,2,1,0,0,1,0,1,0,2,0,0,0
"H1_Bulk_28_FD_scaffold_5472_1",118,138,101,57,136,58,123,84,110,43,106,70,95,72,80,88,87,69,68,92,75,67,195,56,44,4,164,158,122,79,108,22,41096,29,89,41,126,178,157,113,77,147,162,114,157,69,74,108
"H1_Bulk_28_FD_scaffold_5497_1",25,24,28,6,18,5,19,13,12,5,17,8,23,22,5,13,22,8,8,18,19,21,25,7,4,0,14,18,6,5,6,5,0,7,10,7,41,21,14,11,20,15,6,6,10,14,7,8
"H1_Bulk_28_FD_scaffold_5563_1",7,2,15,1,2,0,3,14,17,9,9,10,2,2,8,2,2,2,4,5,6,5,20,1,3,0,17,3,7,5,4,6,0,1,1,3,4,17,17,25,3,18,4,6,3,13,5,14
"H1_Bulk_28_FD_scaffold_5590_1",46,48,34,12,16,21,38,26,37,18,25,24,36,39,3,30,45,20,40,62,80,48,67,33,31,4,46,36,35,35,26,23,0,22,47,24,85,39,51,58,39,44,69,44,52,33,27,27
"H1_Bulk_28_FD_scaffold_5838_1",34,27,37,10,17,9,13,28,29,6,18,18,19,19,15,15,12,10,5,29,24,20,34,10,7,1,49,23,11,22,20,8,0,5,10,7,44,42,62,55,19,63,37,24,28,28,21,50
"H1_Bulk_28_FD_scaffold_588_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_6078_1",1,0,0,0,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_6078_2",0,0,0,0,0,1,0,4,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_6081_1",18,13,15,6,6,3,7,13,11,1,13,5,12,13,20,5,15,3,6,4,11,13,30,7,3,0,18,20,8,8,9,6,2,3,9,4,13,25,18,18,15,16,13,17,18,9,8,10
"H1_Bulk_28_FD_scaffold_6_1",95,46,47,44,66,35,47,42,28,17,43,32,64,57,19,34,76,53,40,31,33,45,53,25,21,2,103,160,55,42,42,9,0,23,38,19,140,43,51,39,40,61,18,15,34,24,25,26
"H1_Bulk_28_FD_scaffold_6124_1",41,48,29,10,22,14,32,42,42,6,22,15,23,32,32,18,13,18,20,29,37,33,77,21,14,0,49,44,23,22,34,35,0,4,23,15,36,52,56,79,31,60,66,56,58,52,38,49
"H1_Bulk_28_FD_scaffold_6124_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_6_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_6_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_743_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_743_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_743_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_743_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_762_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_28_FD_scaffold_915_2",3,2,8,0,4,0,3,1,3,1,8,8,2,4,4,1,5,0,2,2,8,4,7,3,3,1,2,2,1,6,0,0,0,2,2,1,7,4,5,4,5,2,8,3,6,3,6,4
"H1_Bulk_28_FD_scaffold_931_2",19,10,22,4,17,3,1,15,26,13,11,11,8,18,15,13,11,7,6,12,15,9,13,6,8,2,17,25,11,21,4,1,0,8,6,13,27,26,31,23,19,27,14,13,19,15,7,19
"H1_Bulk_28_FD_scaffold_931_3",37,39,65,13,41,5,15,47,48,8,28,16,26,44,43,21,23,15,20,28,34,24,38,18,10,0,36,38,27,26,24,13,29,6,19,15,57,102,94,63,22,59,49,39,51,38,25,36
"H1_Bulk_29_scaffold_10173_3",21,28,17,3,19,8,11,23,14,5,12,5,26,16,12,15,11,18,11,25,18,12,18,11,10,3,25,20,21,20,14,3,0,6,20,8,23,48,29,36,24,38,22,12,31,31,24,39
"H1_Bulk_29_scaffold_10325_2",17,14,17,15,13,7,26,20,8,17,16,8,6,9,22,15,21,20,3,18,16,12,27,7,20,1,42,41,29,7,8,16,0,7,5,9,3,1,3,0,2,1,0,0,6,1,1,2
"H1_Bulk_29_scaffold_10325_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_29_scaffold_10325_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_29_scaffold_10409_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_29_scaffold_10409_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_29_scaffold_10510_2",13,6,8,2,11,2,17,10,7,5,13,5,6,8,1,2,4,5,4,11,13,9,19,8,5,1,5,2,5,4,1,3,0,4,5,3,11,6,9,13,5,7,13,13,6,7,6,6
"H1_Bulk_29_scaffold_10529_1",5,5,6,7,2,1,7,9,3,2,2,9,3,1,1,0,4,7,3,7,6,2,11,4,6,2,8,6,4,6,7,1,0,3,6,2,7,6,4,5,7,5,0,1,6,5,1,3
"H1_Bulk_29_scaffold_10529_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_29_scaffold_10535_2",13,18,16,11,13,9,31,25,17,6,24,20,16,6,30,2,11,8,8,7,11,15,22,7,17,1,27,14,22,26,20,19,0,9,9,8,22,12,9,13,3,12,17,4,7,6,4,7
"H1_Bulk_29_scaffold_10535_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_29_scaffold_10591_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_29_scaffold_1072_2",5,2,7,0,1,0,5,2,1,3,2,2,1,3,0,1,0,1,0,1,6,3,3,2,0,0,1,2,1,2,1,0,0,2,2,1,5,2,1,2,0,6,3,0,5,4,1,2
"H1_Bulk_29_scaffold_1072_7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_29_scaffold_10845_2",21,27,33,16,16,3,27,25,32,14,18,15,18,16,21,11,13,9,6,23,24,11,37,14,9,6,26,12,17,20,25,22,5,9,8,6,21,20,19,18,6,22,38,20,9,9,11,16
