"","H1.Bulk.28.FD.mapped.bam","H1.Bulk.29.mapped.bam","H1.Bulk.30.mapped.bam","H1.Bulk.Litter.4.mapped.bam","H1.Bulk.Litter.5.mapped.bam","H1.Bulk.Litter.6.mapped.bam","H1.Rhizo.25.mapped.bam","H1.Rhizo.26.FD.mapped.bam","H1.Rhizo.27.mapped.bam","H1.Rhizo.Litter.1.mapped.bam","H1.Rhizo.Litter.2.mapped.bam","H1.Rhizo.Litter.3.mapped.bam","H2.Bulk.34.mapped.bam","H2.Bulk.35.mapped.bam","H2.Bulk.36.mapped.bam","H2.Bulk.Litter.10.mapped.bam","H2.Bulk.Litter.11.mapped.bam","H2.Bulk.Litter.12.mapped.bam","H2.Bulk.Litter.50.mapped.bam","H2.Rhizo.31.mapped.bam","H2.Rhizo.32.mapped.bam","H2.Rhizo.33.mapped.bam","H2.Rhizo.Litter.49.mapped.bam","H2.Rhizo.Litter.7.mapped.bam","H2.Rhizo.Litter.8.mapped.bam","H2.Rhizo.Litter.9.mapped.bam","H3.Bulk.40.mapped.bam","H3.Bulk.41.mapped.bam","H3.Bulk.42.mapped.bam","H3.Bulk.Litter.16.mapped.bam","H3.Bulk.Litter.17.mapped.bam","H3.Rhizo.37.mapped.bam","H3.Rhizo.39.mapped.bam","H3.Rhizo.Litter.13.mapped.bam","H3.Rhizo.Litter.14.mapped.bam","H3.Rhizo.Litter.15.mapped.bam","H4.Bulk.46.mapped.bam","H4.Bulk.47.mapped.bam","H4.Bulk.48.mapped.bam","H4.Bulk.Litter.22.mapped.bam","H4.Bulk.Litter.23.mapped.bam","H4.Bulk.Litter.24.mapped.bam","H4.Rhizo.43.mapped.bam","H4.Rhizo.44.mapped.bam","H4.Rhizo.45.mapped.bam","H4.Rhizo.Litter.19.mapped.bam","H4.Rhizo.Litter.20.mapped.bam","H4.Rhizo.Litter.21.mapped.bam"
"H3_Rhizo_37_scaffold_7437_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2_Rhizo_Litter_7_scaffold_10231_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H3_Rhizo_Litter_15_scaffold_11273_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2_Rhizo_Litter_8_scaffold_15439_1",2,2,0,0,0,1,2,1,1,1,0,1,0,2,0,2,1,2,0,1,1,1,2,2,4,1,1,0,1,0,1,0,0,0,2,0,0,1,0,2,1,1,1,0,3,6,2,1
"H1_Rhizo_Litter_3_33674_1",5,1,0,3,4,7,0,0,3,3,1,18,0,1,0,5,4,6,4,2,0,0,6,0,2,0,10,1,6,2,3,0,0,0,7,1,2,3,0,8,2,1,1,0,1,0,3,3
"H4_Rhizo_Litter_20_scaffold_5736_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2_Bulk_Litter_12_scaffold_18529_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2_Bulk_Litter_50_scaffold_18550_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2_Rhizo_Litter_8_scaffold_23801_1",0,4,1,15,26,10,4,4,2,5,13,14,4,1,5,26,14,21,12,2,1,4,17,11,31,0,6,4,13,5,11,2,0,6,6,3,0,0,0,5,1,3,1,0,1,4,1,6
"H1_Bulk_Litter_4_scaffold_12358_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_Litter_5_scaffold_29755_1",0,0,0,2,17,7,2,1,0,4,0,4,0,0,0,0,2,5,3,0,1,0,2,1,3,0,0,0,0,1,4,0,0,0,3,1,0,0,0,2,1,0,1,0,1,3,1,3
"H4_Bulk_48_scaffold_24744_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H1_Bulk_29_scaffold_21440_1",6,36,6,6,19,8,7,7,7,7,13,4,7,8,24,12,24,25,18,10,14,7,34,5,14,2,5,14,11,23,8,3,0,16,6,4,1,4,4,10,6,4,4,6,9,13,4,12
"H3_Rhizo_Litter_13_scaffold_11183_1",0,0,0,0,1,0,151,86,6,56,129,153,0,0,0,0,0,0,0,42,78,83,25,25,125,2,0,0,1,0,0,138,0,10,18,8,0,0,0,1,0,1,3,0,1,1,15,5
"H4_Rhizo_Litter_19_scaffold_10080_2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
