"","KO","H1_Bulk","H1_BulkLitter","H1_Rhizo","H1_RhizoLitter","H2_Bulk","H2_BulkLitter","H2_Rhizo","H2_RhizoLitter","H3_Bulk","H3_BulkLitter","H3_Rhizo","H3_RhizoLitter","H4_Bulk","H4_BulkLitter","H4_Rhizo","H4_RhizoLitter","mean.ORF.length.in.MT.x","Threshold.bitscore.x","gene","reaction","pathway","mean.ORF.length.in.MT.y","HMM.source","Threshold.type","Threshold.bitscore.y"
"1","K07273",0.281035375956659,0.861078796464222,0.279281997921522,0.527247603508495,0.564649363892635,1.35418307507403,0.44305320091586,0.580723248867226,1.09448251184366,1.37356428750388,0.309326893772202,2.60376225219504,0.108671061791719,0.0520278013382889,0.0912775337582198,0.0591709983597484,771,NA,"lys","Lysozyme","cellwall",771,"KEGG","",NA
"2","K07004",0.0103652807177718,0.0232320053305988,0.0241622394801584,0.0264507535954392,0.0226806348711736,0.0238210227527269,0.0169541421879785,0.0198334510459858,0.0403275940814384,0.176180693636449,0.0269022959764384,0.0304573787998934,0.0368358775666424,0.054501954457022,0.0361221708721662,0.0119118160132391,1896,NA,"Xds","Exoribonuclease","exonuc",1896,"KEGG","",NA
"3","K01183",0.276413710666861,0.902135406774756,0.624011107533027,0.938371401971328,0.327184976910259,1.24281856323761,0.470020289155026,1.08974397544202,0.719495059745745,1.69635025347458,0.214314088955156,1.72019504259313,0.685558309002584,2.12290377230679,0.825746759195235,2.49442774585343,476,NA,"chit1","Chitinase","Exoprot",476,"KEGG","",NA
"4","K01428",2.41958698890487,2.18933263175774,2.09257503944922,2.20616342238252,2.72232783970684,2.81551995219719,2.36901361154744,1.96667842613646,1.74979377202296,1.95285861670926,4.93280973857659,2.44159641167997,2.92546692291175,2.89604771878562,1.63274265044119,2.24920965821749,1176,NA,"ureA","urease","urea",1176,"KEGG","",NA
"5","K01429",0.88971120796134,0.879290544382302,0.774298865030957,0.885030407945001,1.152633696502,1.14369285627836,0.869812659668508,0.683602970489976,0.608504476208185,0.750579151474717,2.17402292819714,1.03107707638703,1.17415528523372,1.01012820689021,0.587586941703154,0.912332883025655,383,NA,"ureB","urease","urea",383,"KEGG","",NA
